TRJVUQS128F9304DEF,Rum And Coca Cola,The Soundtrack To Your Life  1945 ,ARVRIRA11F4C83B63E,Andrews Sisters,191.58159,0.581021908869,0.357722406568,0,Jazz,,
TRKJLGV12903CEAA78,Leaving Earth,Departure,AR2AHH11187B99D6D0,Code 64,338.25914,0.589730055749,0.421791986542,2005,Electronic,,
TRPFTJX128F9326CC6,Torn To Tattered,Echo Echo,ARFMHB31187FB47644,Carbon Leaf,329.74322,0.658867912095,0.466995278935,2001,Rock,,
TROCRPR128F1459926,Easy Conversation,Brown Sugar,AROQMWV1187FB3781A,Jill Scott,297.74322,0.814622989079,0.53031515062,2002,RnB,,
TRJRLDF128F4236297,Hangman's Blues,The Complete Classic Sides Remastered: Chicago 1928 Disc C,ARE36MM1187B991E50,Blind Lemon Jefferson,186.93179,0.594866645475,0.3828469015,2004,Blues,,
TROXQDG128F428D971,Need You,Need You,ARJC5411187FB36FF7,Darkstar,370.31138,0.735413478586,0.417061969496,0,Electronic,,
TRAZBMZ128F4218EB8,Magico,Coleccion Salsa Discotheque - Vol. 1,AR7BJSQ1187B99AA13,Primi Cruz,305.78893,0.385250633088,0.267747100552,0,Latin,,
TRYMKYM128F9300338,Always In My Heart,Reggae Hits Vol. 16,ARTEPG61187FB54154,Sixy Morris,195.91791,0.305951904726,0.241045802505,0,Reggae,,
TRHQCYG12903CE1291,Burning Car,Metatronic,ARD80VO1187B991B4B,John Foxx,166.37342,0.639257861479,0.452502867863,1980,Electronic,,
TRLUJBX128F424651D,Say Yes,Babysoul,ARXZTKV11F4C83CA1E,Jackiem Joyner,312.842,0.514997490513,0.377977774448,2007,Jazz,,
TRFNWSF128F932DD3B,Nightsport,Side Stepper,AR3O9M61187FB3F181,The Bamboos,208.56118,0.615152395351,0.489649901601,0,RnB,,
TROZVGY128F425A54E,Groove Is On,Lovebox,ARWRMUE1187B9AC2CB,Groove Armada,257.25342,0.82297707364,0.531464052393,2002,Electronic,,
TRBVEYW128F92FB304,melody,melody,ARX3ZPV11C8A42B968,ayaka,209.42322,0.551281548826,0.386309591701,0,Pop,,
TRHXVGB12903CBB02A,Morenita Labios Rojos,Puro Veneno de Durango,ARJYHON1241B9CC727,Banda Lamento Show De Durango,147.98322,0.546671318471,0.370056144041,0,Latin,,
TRTHGWJ128F14AB0AC,We Have Explosive (7'' Edit),We Have Explosive,ARUHNTQ11F4C84023E,Future Sound Of London,205.97506,0.58963026039,0.258832872666,0,Electronic,,
TRHPSNM128F4269280,Love Train,Big Wide Grin,ARO0QD41187FB3AB0A,Keb' Mo',269.7922,0.632130913015,0.472281210651,2001,Blues,,
TRQODTI128F428AA74,Sometimes,Shine,ARIX5H81187B9B09B9,Daniel Lanois,148.21832,0.61894427959,0.406886424124,2003,Rock,,
TRPLUWL128F4238461,Heart Like A Wheel,Heidi Berry,ARDBM921187FB50600,Heidi Berry,239.98649,0.436354776545,0.263872907338,1993,Rock,,
TRLRDEF128F42327A9,Meditation Dub,Satta Dub,ARURRDO11F50C47A78,Abyssinians,209.47546,0.538317895442,0.0,0,Reggae,,
TREAXNW12903CB0B7B,Seamless,Seamless,ARTXZQW1241B9C9FF8,DJ Ange,461.97506,0.431435849583,0.326683968593,2010,Electronic,,
TRZKOLS128F933D146,East Of The Sun,The Ultimate Collection,ARJGQDS1187B99DDEA,Billie Holiday,176.77016,0.795691914662,0.583066462312,1986,Jazz,,
